Student_ID,Age,Gender,Study_Hours,Attendance(%),Test_Score,Grade
S0155,18,Male,7.0,89.2,66.0,B
S0288,20,Female,9.0,84.6,85.0,A
S0618,18,Male,4.7,91.8,22.0,F
S0570,22,Female,4.1,97.5,36.0,F
S0760,22,Female,20.0,70.3,100.0,A+
S0018,22,Female,4.7,92.6,40.0,F
S0128,20,Male,4.5,60.8,29.0,F
S0323,20,Female,2.4,88.9,41.0,F
S0256,18,Male,4.8,81.8,43.0,F
S0689,18,Female,-0.5,82.2,6.0,F
S0985,19,Male,3.2,80.1,44.0,F
S0191,21,Male,5.8,85.8,60.0,C
S0116,22,Male,8.3,93.7,89.0,A
S0632,22,Male,6.4,77.5,70.0,B
S0607,21,Female,4.0,78.0,25.0,F
S0181,22,Male,8.6,75.0,78.0,B
S0302,19,Female,4.5,71.5,52.0,C
S0941,20,Female,6.3,81.2,52.0,C
S0729,19,Female,5.7,105.3,70.0,B
S0740,19,Female,3.2,99.3,14.0,F
S0974,22,Female,3.7,80.0,30.0,F
S0788,23,Male,4.9,88.1,57.0,C
S0518,24,Male,9.6,92.7,96.0,A+
S0412,22,Male,,104.8,49.0,F
S0046,21,Male,3.3,92.8,35.0,F
S0927,22,Female,5.9,88.4,54.0,C
S0158,24,Female,6.0,96.8,57.0,C
S0761,22,Male,5.2,83.1,47.0,F
S0172,19,Female,3.5,91.1,29.0,F
S0017,23,Female,4.0,87.1,33.0,F
S0512,24,Male,3.7,82.2,27.0,F
S0049,18,Female,7.6,82.5,69.0,B
S0992,24,Female,3.7,91.6,26.0,F
S0858,19,Female,7.6,88.3,84.0,A
S0516,21,Male,6.8,93.1,63.0,C
S0912,19,Male,5.6,87.6,67.0,B
S0481,21,Male,5.1,95.9,63.0,C
S0284,21,Male,4.7,60.9,47.0,F
S0735,20,Female,3.0,88.6,24.0,F
S0670,18,Male,3.9,85.1,42.0,F
S0226,22,Male,3.6,80.1,33.0,F
S0027,21,Male,9.7,65.4,90.0,A
S0799,24,Male,5.6,93.5,56.0,C
S0438,24,Female,5.2,89.2,49.0,F
S0970,24,Female,0.9,93.1,22.0,F
S0365,20,Male,5.3,85.3,59.0,C
S0230,23,Male,4.9,94.4,43.0,F
S0038,21,Female,2.5,99.3,13.0,F
S0986,19,Male,5.5,88.4,40.0,F
S0375,24,Female,4.4,84.9,53.0,C
S0470,18,Male,5.9,92.9,73.0,B
S0988,23,Male,0.7,72.4,4.0,F
S0868,24,Female,0.9,90.6,0.0,
S0909,18,Male,4.1,,40.0,F
S0742,21,Female,8.1,82.0,100.0,A+
S0195,20,Male,2.9,76.5,28.0,F
S0935,18,Male,3.5,68.0,44.0,F
S0882,19,Female,6.0,72.2,55.0,C
S0504,21,Female,5.8,98.2,68.0,B
S0990,20,Male,7.2,111.8,81.0,A
S0848,21,Male,5.4,79.0,63.0,C
S0580,22,Female,3.6,92.2,25.0,F
S0989,24,Male,5.0,81.5,53.0,C
S0163,19,Male,9.8,76.8,79.0,B
S0718,21,Female,5.8,77.1,54.0,C
S0153,20,Male,9.9,90.2,98.0,A+
S0697,18,Female,5.4,83.5,66.0,B
S0716,21,Female,4.6,75.8,37.0,F
S0929,22,Male,6.8,78.3,57.0,C
S0112,18,Male,2.7,102.7,16.0,F
S0227,18,Female,5.6,95.3,70.0,B
S0704,18,Female,4.4,99.1,52.0,C
S0104,18,Female,4.2,96.3,38.0,F
S0422,23,Female,6.4,50.3,53.0,C
S0420,22,Male,5.1,80.9,54.0,C
S0849,19,Male,3.4,66.9,24.0,F
S0587,18,Male,5.6,,53.0,C
S0797,21,Female,4.3,77.4,28.0,F
S0673,19,Female,9.4,71.0,96.0,A+
S0120,22,Male,3.7,88.9,32.0,F
S0054,22,Male,5.6,83.4,54.0,C
S0152,23,Male,3.6,93.6,42.0,F
S0404,20,Female,5.0,72.6,50.0,F
S0964,22,Female,5.2,61.8,43.0,F
S0208,21,Female,4.8,98.7,62.0,C
S0659,22,Male,4.1,86.0,46.0,F
S0884,22,Female,6.6,95.8,84.0,A
S0779,22,Female,4.1,77.8,45.0,F
S0009,19,Female,7.3,100.2,68.0,B
S0825,20,Male,4.5,75.5,49.0,F
S0037,19,Female,1.5,82.3,15.0,F
S0453,18,Female,6.0,74.4,54.0,C
S0652,24,Female,7.9,74.6,73.0,B
S0254,18,Male,7.4,70.8,62.0,C
S0304,24,Female,7.9,91.8,74.0,B
S0763,20,Female,3.4,102.6,34.0,F
S0572,21,Male,7.6,95.1,81.0,A
S0624,21,Male,5.1,92.7,51.0,C
S0859,21,Female,4.8,101.3,58.0,C
S0759,22,Male,2.3,72.5,20.0,F
S0263,23,Male,5.1,94.7,44.0,F
S0611,21,Male,2.3,101.1,11.0,F
S0298,21,Male,8.3,77.6,84.0,A
S0415,23,Male,2.8,76.9,29.0,F
S0151,21,Male,4.7,79.6,30.0,F
S0862,21,Male,7.0,80.1,67.0,B
S0641,24,Female,,78.1,30.0,F
S0907,20,Female,4.6,67.6,61.0,C
S0551,23,Male,7.3,100.1,71.0,B
S0808,24,Female,6.0,91.0,64.0,C
S0489,19,Male,25.0,95.6,7.0,F
S0711,19,Male,20.0,95.2,21.0,F
S0148,23,Male,7.0,79.7,63.0,C
S0147,24,Female,3.7,96.5,38.0,F
S0737,22,Male,5.7,64.1,51.0,C
S0950,24,Male,2.8,83.5,23.0,F
S0756,20,Male,3.2,98.5,34.0,F
S0660,21,Male,3.4,68.4,31.0,F
S0349,18,Female,3.3,79.4,44.0,F
S0464,19,Male,2.7,88.8,34.0,F
S0326,19,Female,3.6,81.3,27.0,F
S0187,22,Male,5.2,82.2,52.0,C
S0124,18,Female,4.3,76.6,60.0,C
S0871,18,Male,2.0,96.2,20.0,F
S0609,19,Male,5.4,102.1,48.0,F
S0144,19,Male,5.0,96.0,41.0,F
S0979,20,Female,6.0,80.8,66.0,B
S0198,19,Male,7.3,95.0,64.0,C
S0610,18,Female,4.7,82.0,49.0,F
S0280,18,Female,6.3,73.7,58.0,C
S0294,23,Male,5.9,100.5,68.0,B
S0401,22,Female,7.9,89.1,95.0,A+
S0123,24,Male,6.9,70.5,71.0,B
S0184,22,Male,6.4,78.7,62.0,C
S0203,22,Female,2.7,73.9,5.0,F
S0439,23,Female,8.2,86.1,88.0,A
S0247,19,Female,4.5,89.1,52.0,C
S0416,20,Female,3.6,94.6,38.0,F
S0793,21,Female,7.3,75.1,74.0,B
S0782,24,Male,2.9,83.8,45.0,F
S0924,22,Male,6.6,83.8,60.0,C
S0785,19,Female,7.8,90.4,71.0,B
S0905,18,Female,4.6,86.5,34.0,F
S0130,18,Female,6.4,82.3,62.0,C
S0638,20,Female,6.2,86.8,63.0,C
S0403,22,Male,5.6,98.8,48.0,F
S0801,24,Male,4.9,71.3,46.0,F
S0787,24,Male,3.7,92.8,50.0,F
S0736,24,Female,3.2,88.4,24.0,F
S0931,22,Female,6.5,78.4,67.0,B
S0220,18,Female,5.4,74.7,51.0,C
S0642,18,Female,6.0,85.0,61.0,C
S0933,19,Male,5.2,67.7,45.0,F
S0853,22,Male,8.6,98.3,84.0,A
S0824,22,Male,4.1,92.6,37.0,F
S0938,18,Female,7.3,,82.0,A
S0625,20,Male,4.8,67.8,49.0,F
S0856,21,Female,1.1,105.2,13.0,F
S0951,24,Female,7.4,98.5,66.0,B
S0387,23,Female,8.6,84.8,84.0,A
S0993,19,Female,2.2,64.0,8.0,F
S0510,21,Male,3.6,98.9,24.0,F
S0268,20,Female,5.9,93.1,56.0,C
S0837,23,Female,6.0,80.3,47.0,F
S0442,23,Male,2.6,68.3,18.0,F
S0497,18,Male,-0.8,77.9,0.0,
S0113,21,Female,4.8,81.4,31.0,F
S0692,18,Female,3.2,82.1,35.0,F
S0233,23,Female,0.5,84.3,21.0,F
S0887,19,Male,1.1,89.0,12.0,F
S0608,24,Male,4.3,76.3,44.0,F
S0672,21,Male,3.3,63.6,36.0,F
S0374,21,Male,5.8,,76.0,B
S0738,20,Male,4.6,83.1,39.0,F
S0860,19,Male,0.5,102.5,0.0,
S0234,22,Female,5.5,104.8,50.0,F
S0802,18,Female,3.5,85.3,30.0,F
S0677,23,Female,8.7,86.7,65.0,C
S0318,19,Male,1.7,78.5,24.0,F
S0649,19,Female,5.5,78.0,46.0,F
S0411,23,Female,5.6,69.6,46.0,F
S0916,18,Female,4.2,81.6,42.0,F
S0710,20,Female,,72.0,12.0,F
S0359,22,Male,4.7,,56.0,C
S0259,18,Female,4.4,81.3,57.0,C
S0745,19,Female,5.2,83.2,37.0,F
S0628,19,Female,6.2,82.3,64.0,C
S0633,21,Female,9.6,93.3,91.0,A+
S0283,22,Female,7.1,92.8,69.0,B
S0377,18,Male,6.0,91.2,67.0,B
S0385,23,Female,6.6,83.5,63.0,C
S0225,21,Male,25.0,92.3,62.0,C
S0974,22,Female,3.7,80.0,30.0,F
S0966,23,Male,4.6,101.4,37.0,F
S0473,21,Female,6.1,85.3,71.0,B
S0348,20,Female,3.1,66.1,42.0,F
S0506,18,Female,4.9,,37.0,F
S0640,20,Female,6.8,67.3,58.0,C
S0514,23,Female,3.5,74.9,38.0,F
S0798,22,Female,6.0,78.1,48.0,F
S0947,18,Female,6.8,93.8,59.0,C
S0923,24,Female,1.8,96.9,21.0,F
S0620,22,Female,6.5,102.1,62.0,C
S0873,21,Male,4.8,91.9,37.0,F
S0821,24,Male,7.0,95.4,82.0,A
S0646,19,Female,3.1,81.2,28.0,F
S0864,18,Male,3.3,79.5,30.0,F
S0557,24,Male,7.8,76.7,70.0,B
S0978,20,Male,3.8,70.3,42.0,F
S0578,23,Female,4.1,87.8,49.0,F
S0796,21,Female,5.2,74.9,45.0,F
S0086,19,Female,2.1,87.5,11.0,F
S0243,21,Male,1.9,87.0,26.0,F
S0699,21,Female,8.7,77.6,71.0,B
S0160,20,Male,3.9,89.5,37.0,F
S0525,19,Female,7.4,97.5,90.0,A
S0036,24,Female,5.2,74.1,50.0,F
S0541,18,Female,2.6,73.1,27.0,F
S0171,24,Female,4.6,,35.0,F
S0655,22,Male,5.6,78.1,42.0,F
S0908,20,Female,5.8,96.1,66.0,B
S0875,21,Male,5.1,84.3,53.0,C
S0865,21,Male,3.9,92.0,38.0,F
S0963,21,Male,9.6,73.1,100.0,A+
S0734,22,Male,5.2,86.3,60.0,C
S0096,23,Female,5.3,66.8,41.0,F
S0564,21,Female,5.1,89.0,55.0,C
S0241,23,Male,7.2,74.4,79.0,B
S0743,18,Male,3.9,84.1,32.0,F
S0575,18,Female,6.4,91.6,78.0,B
S0691,21,Female,4.1,77.2,29.0,F
S0461,24,Female,3.3,79.0,24.0,F
S0554,22,Female,,102.0,38.0,F
S0896,23,Male,6.3,98.3,59.0,C
S0207,21,Male,7.2,87.4,56.0,C
S0393,20,Female,6.0,71.6,61.0,C
S0795,19,Male,2.1,78.7,34.0,F
S0398,21,Male,8.2,90.9,73.0,B
S0767,21,Female,6.3,82.9,71.0,B
S0866,20,Male,4.2,86.6,44.0,F
S0218,23,Female,3.9,85.2,36.0,F
S0005,20,Male,4.7,76.7,48.0,F
S0769,24,Female,7.0,87.7,62.0,C
S0643,19,Male,4.5,92.9,34.0,F
S0915,24,Male,6.3,89.3,74.0,B
S0613,21,Male,5.6,89.1,51.0,C
S0739,20,Male,3.3,82.6,38.0,F
S0547,18,Female,3.3,79.9,35.0,F
S0726,22,Male,4.7,87.6,47.0,F
S0684,18,Male,7.6,90.3,73.0,B
S0099,24,Male,4.7,82.9,46.0,F
S0805,21,Female,3.1,96.6,27.0,F
S0728,19,Female,6.6,77.4,68.0,B
S0574,24,Male,2.3,,28.0,F
S0407,18,Male,2.1,69.7,27.0,F
S0503,20,Male,3.1,86.9,39.0,F
S0048,21,Female,5.7,99.8,66.0,B
S0033,18,Male,6.1,103.4,60.0,C
S0780,21,Male,9.0,90.3,82.0,A
S0840,18,Female,4.9,86.3,67.0,B
S0201,23,Male,3.1,78.5,29.0,F
S0135,22,Female,7.5,96.7,84.0,A
S0028,19,Male,6.9,92.3,66.0,B
S0948,19,Female,5.5,81.2,58.0,C
S0231,20,Female,4.7,82.7,67.0,B
S0490,24,Male,5.1,94.4,53.0,C
S0773,21,Male,5.8,92.5,68.0,B
S0379,21,Male,7.3,91.3,79.0,B
S0289,24,Female,6.9,105.2,72.0,B
S0419,22,Male,3.5,99.1,34.0,F
S0675,24,Male,5.3,89.2,50.0,F
S0392,20,Female,2.5,69.3,22.0,F
S0593,19,Male,7.9,88.2,92.0,A+
S0499,19,Male,5.6,84.4,36.0,F
S0139,18,Male,5.7,108.3,55.0,C
S0063,19,Male,,103.9,51.0,C
S0472,22,Male,7.3,93.0,56.0,C
S0648,23,Male,4.2,74.8,47.0,F
S0129,20,Male,6.4,112.2,52.0,C
S0997,18,Female,6.5,72.1,61.0,C
S0521,21,Female,4.7,85.7,38.0,F
S0839,24,Female,5.5,77.9,56.0,C
S0983,19,Male,3.4,79.7,47.0,F
S0065,19,Male,4.3,84.5,46.0,F
S0813,23,Male,5.7,70.8,79.0,B
S0015,21,Female,,96.8,66.0,B
S0157,22,Male,5.7,92.0,58.0,C
S0041,23,Female,3.3,66.8,45.0,F
S0493,23,Male,6.0,61.1,52.0,C
S0380,20,Male,4.4,72.3,31.0,F
S0188,24,Female,6.9,91.3,64.0,C
S0764,22,Male,4.4,82.2,56.0,C
S0217,24,Male,1.7,78.7,13.0,F
S0792,19,Female,4.0,72.8,34.0,F
S0053,24,Male,5.5,85.5,67.0,B
S0879,20,Male,7.4,90.6,88.0,A
S0338,24,Male,1.4,83.4,24.0,F
S0749,23,Male,5.5,90.0,68.0,B
S0720,22,Female,7.8,76.9,77.0,B
S0725,24,Male,-0.7,58.2,0.0,
S0296,20,Female,6.3,86.9,71.0,B
S0702,20,Female,5.5,89.5,73.0,B
S0252,19,Male,6.0,,53.0,C
S0727,22,Male,6.8,84.5,77.0,B
S0462,19,Male,1.8,87.3,21.0,F
S0456,20,Male,3.2,90.8,16.0,F
S0281,24,Male,5.6,82.8,52.0,C
S0816,19,Male,6.1,78.9,61.0,C
S0863,22,Male,6.1,71.5,61.0,C
S0270,19,Female,5.0,71.3,45.0,F
S0202,18,Male,6.5,86.9,59.0,C
S0162,22,Female,4.2,87.1,49.0,F
S0556,22,Female,6.8,68.4,57.0,C
S0730,24,Female,2.8,94.6,32.0,F
S0402,21,Male,1.6,69.2,36.0,F
S0703,21,Male,7.3,64.1,80.0,B
S0477,21,Female,2.6,95.8,52.0,C
S0822,22,Female,6.3,90.4,71.0,B
S0772,22,Female,5.3,89.1,55.0,C
S0106,22,Female,4.6,72.2,54.0,C
S0566,20,Male,8.4,86.9,93.0,A+
S0390,20,Female,3.4,88.4,34.0,F
S0002,21,Female,2.6,78.9,22.0,F
S0991,20,Female,4.2,72.7,30.0,F
S0741,24,Female,4.4,88.3,28.0,F
S0562,24,Female,5.3,72.1,45.0,F
S0932,19,Male,3.7,78.0,24.0,F
S0081,21,Male,5.5,90.3,43.0,F
S0206,21,Female,5.4,,58.0,C
S0035,20,Female,3.3,75.6,49.0,F
S0776,21,Male,3.3,85.6,44.0,F
S0509,21,Female,4.3,87.4,20.0,F
S0428,21,Female,2.5,89.4,32.0,F
S0455,18,Female,2.9,93.6,21.0,F
S0367,18,Male,7.8,84.2,73.0,B
S0092,19,Female,5.3,76.3,45.0,F
S0340,18,Male,6.5,90.8,77.0,B
S0898,19,Male,5.3,90.0,60.0,C
S0565,19,Male,5.2,84.2,45.0,F
S0346,18,Male,,78.8,59.0,C
S0777,24,Female,2.5,95.7,24.0,F
S0242,18,Female,3.6,95.6,34.0,F
S0014,22,Female,3.8,96.6,43.0,F
S0316,18,Male,2.9,85.5,17.0,F
S0601,19,Female,3.8,100.7,25.0,F
S0388,23,Male,3.3,80.1,38.0,F
S0274,23,Male,7.2,83.5,75.0,B
S0167,24,Male,3.2,83.1,10.0,F
S0841,22,Female,7.3,96.6,64.0,C
S0637,22,Female,8.6,90.4,89.0,A
S0647,19,Male,7.6,102.5,77.0,B
S0819,22,Male,2.6,69.7,25.0,F
S0485,24,Male,9.9,79.6,100.0,A+
S0522,22,Male,7.0,78.6,68.0,B
S0505,22,Male,3.6,103.2,48.0,F
S0832,18,Male,,85.7,45.0,F
S0244,18,Male,4.5,82.2,40.0,F
S0567,22,Male,4.5,87.0,51.0,C
S0876,22,Male,5.3,78.5,47.0,F
S0563,20,Female,2.6,85.9,37.0,F
S0973,24,Male,3.2,73.2,30.0,F
S0687,23,Female,6.9,86.1,43.0,F
S0958,20,Female,0.2,92.8,0.0,
S0190,22,Female,7.6,83.7,73.0,B
S0783,20,Female,3.6,88.6,36.0,F
S0700,22,Male,2.8,78.0,32.0,F
S0476,23,Female,4.5,86.6,43.0,F
S0682,22,Female,6.7,88.6,59.0,C
S0511,22,Female,,75.0,58.0,C
S0059,18,Male,6.0,96.1,52.0,C
S0475,23,Male,4.0,61.9,37.0,F
S0561,22,Male,3.7,94.5,37.0,F
S0857,19,Female,4.7,94.7,33.0,F
S0748,22,Male,2.9,,13.0,F
S0253,20,Female,6.7,71.0,80.0,B
S0022,23,Female,7.1,77.6,75.0,B
S0314,20,Male,4.5,84.6,21.0,F
S0460,19,Male,6.4,67.8,60.0,C
S0161,18,Female,4.5,77.3,31.0,F
S0277,24,Male,3.3,67.6,27.0,F
S0956,23,Male,5.1,85.2,52.0,C
S0192,22,Female,9.4,85.2,95.0,A+
S0386,23,Female,3.9,76.3,18.0,F
S0806,23,Male,5.0,80.8,57.0,C
S0414,22,Male,6.1,111.3,63.0,C
S0492,22,Male,20.0,85.9,43.0,F
S0344,21,Male,5.8,87.2,47.0,F
S0770,24,Female,10.3,100.1,86.0,A
S0309,18,Male,7.1,77.6,71.0,B
S0662,22,Male,0.8,90.3,14.0,F
S0131,20,Male,5.9,96.9,60.0,C
S0664,18,Female,5.7,80.3,40.0,F
S0872,22,Female,7.5,90.5,85.0,A
S0100,24,Female,0.9,108.3,14.0,F
S0373,22,Female,7.4,87.3,57.0,C
S0088,23,Male,5.8,97.3,68.0,B
S0459,22,Female,5.2,99.6,44.0,F
S0331,19,Male,5.1,91.4,48.0,F
S0215,21,Female,4.8,88.4,46.0,F
S0467,21,Female,5.5,90.7,55.0,C
S0122,18,Female,4.5,95.5,26.0,F
S0615,19,Female,6.7,71.0,62.0,C
S0021,23,Male,6.6,85.6,69.0,B
S0701,18,Female,4.3,86.1,49.0,F
S0072,24,Female,5.0,81.4,48.0,F
S0107,22,Female,6.3,84.7,72.0,B
S0271,22,Male,5.3,100.5,45.0,F
S0861,21,Female,4.0,102.7,30.0,F
S0436,18,Female,6.3,92.4,55.0,C
S0103,21,Female,1.6,104.6,37.0,F
